number,formid,form.section_1_visit_information.visit_date,form.section_1_visit_information.crop_stage,form.section_1_visit_information.crops_observed_during_this_visit,form.section_1_visit_information.select_crop_condition.crop_condition_maize,form.section_1_visit_information.select_crop_condition.crop_condition_rice,form.section_1_visit_information.select_crop_condition.crop_condition_groundnuts,form.section_2_livestock_monitoring.which_livestock_were_observed_during_this_visit,form.section_2_livestock_monitoring.select_livestock_condition.goat_condition,form.section_2_livestock_monitoring.select_livestock_condition.rabbit_condition,form.section_3_adoption_of_recommended_practices.has_the_farmer_adopted_the_recommended_farming_practices,form.section_3_adoption_of_recommended_practices.which_recommended_practices_have_been_adopted,form.section_4_farm_challenges.what_challenges_were_observed_during_the_visit,form.section_4_farm_challenges.additional_comments,form.section_4_farm_challenges.capture_farm_photograph,form.section_5_farm_location.capture_monitoring_visit_gps,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,monitoring_duration_minutes,monitoring_latitude,monitoring_longitude,registration_latitude,registration_longitude,gps_distance_meters,gps_within_expected_range
1382,0cf98d67-53a5-42ad-8dc8-e92fffd4b4b2,2026-06-20,harvesting,maize,fair,---,---,---,---,---,yes,timely_weeding improved_livestock_housing pest_management,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/0cf98d67-53a5-42ad-8dc8-e92fffd4b4b2/1783092566975.jpg,10.5473176 7.5851725 0.0 20.0,57c9c6be-76fd-489f-a4ad-054f60216823,2026-06-20 16:07:00,2026-06-20 16:01:00,tester_07,2026-06-20 16:07:14,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/0cf98d67-53a5-42ad-8dc8-e92fffd4b4b2/,tester_07,6.0,10.5473176,7.5851725,10.5476852,7.5849212,49.248858464703694,Yes
1383,0d2b7f2d-4272-4ca7-907c-71f48a206631,2026-06-19,harvesting,rice maize,fair,fair,---,---,---,---,no,---,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/0d2b7f2d-4272-4ca7-907c-71f48a206631/1784208177569.jpg,10.3377021 7.4100754 0.0 20.0,1abf9676-388e-4c39-ae2a-a82ec621e3c5,2026-06-19 09:49:00,2026-06-19 09:46:00,tester_03,2026-06-19 09:49:24,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/0d2b7f2d-4272-4ca7-907c-71f48a206631/,tester_03,3.0,10.3377021,7.4100754,10.3373621,7.4101335,38.33676495616692,Yes
1384,ff4375b1-c128-4343-8007-69ce58d50e7c,2026-07-11,flowering,maize rice groundnuts,good,fair,good,---,---,---,partially,fertilizer_application,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/ff4375b1-c128-4343-8007-69ce58d50e7c/1783982493249.jpg,10.4998437 7.3794531 0.0 20.0,727b8d2f-8e1a-4828-b918-5cf3f0752e38,2026-07-11 13:16:00,2026-07-11 13:08:00,tester_03,2026-07-11 13:16:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ff4375b1-c128-4343-8007-69ce58d50e7c/,tester_03,8.0,10.4998437,7.3794531,10.4995503,7.3791288,48.182387367188525,Yes
1385,19429458-e1fb-4a12-a833-07a6bfb2e296,2026-06-24,planting,rice groundnuts maize,poor,good,fair,---,---,---,partially,timely_weeding,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/19429458-e1fb-4a12-a833-07a6bfb2e296/1784391525508.jpg,10.4996577 7.3791574 0.0 20.0,727b8d2f-8e1a-4828-b918-5cf3f0752e38,2026-06-24 11:54:00,2026-06-24 11:47:00,tester_03,2026-06-24 11:54:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/19429458-e1fb-4a12-a833-07a6bfb2e296/,tester_03,7.0,10.4996577,7.3791574,10.4995503,7.3791288,12.344919522858174,Yes
1386,0a8089e4-18e3-4b3e-ba14-a509266364da,2026-07-18,flowering,rice maize,fair,good,---,rabbits goats,fair,good,yes,timely_weeding pest_management fertilizer_application improved_livestock_housing improved_seed,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/0a8089e4-18e3-4b3e-ba14-a509266364da/1783872032464.jpg,10.5629730 7.5424795 0.0 20.0,9632bb4b-0845-4798-b202-71ddf8c70372,2026-07-18 14:35:00,2026-07-18 14:32:00,tester_02,2026-07-18 14:35:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/0a8089e4-18e3-4b3e-ba14-a509266364da/,tester_02,3.0,10.562973,7.5424795,10.5633073,7.5421462,52.049695972369996,Yes
1387,61975f2e-535d-49de-a4ff-2cd1a379e9b7,2026-06-12,planting,maize groundnuts,fair,---,poor,rabbits goats,fair,good,partially,improved_seed,poor_rainfall pest_infestation lack_of_fertilizer,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/61975f2e-535d-49de-a4ff-2cd1a379e9b7/1784239667411.jpg,10.5634988 7.5419282 0.0 20.0,9632bb4b-0845-4798-b202-71ddf8c70372,2026-06-12 13:45:00,2026-06-12 13:38:00,tester_02,2026-06-12 13:45:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/61975f2e-535d-49de-a4ff-2cd1a379e9b7/,tester_02,7.0,10.5634988,7.5419282,10.5633073,7.5421462,31.957485238430873,Yes
1388,38617daa-5dff-41e0-8fd7-f4e2ce4f71e1,2026-06-30,vegetative_growth,maize,poor,---,---,---,---,---,yes,improved_seed proper_spacing timely_weeding improved_livestock_housing,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/38617daa-5dff-41e0-8fd7-f4e2ce4f71e1/1784934814854.jpg,10.2661210 7.4887250 0.0 20.0,97559633-e5ae-40a0-953f-60a3f80d8096,2026-06-30 12:51:00,2026-06-30 12:48:00,tester_04,2026-06-30 12:51:29,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/38617daa-5dff-41e0-8fd7-f4e2ce4f71e1/,tester_04,3.0,10.266121,7.488725,10.2665934,7.4888028,53.21375361459949,Yes
1389,50868a96-c436-47c0-b3de-7fd525919c52,2026-08-04,vegetative_growth,rice maize,good,poor,---,---,---,---,yes,pest_management timely_weeding improved_seed,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/50868a96-c436-47c0-b3de-7fd525919c52/1783733223308.jpg,10.2666079 7.4885025 0.0 20.0,97559633-e5ae-40a0-953f-60a3f80d8096,2026-08-04 12:14:00,2026-08-04 12:12:00,tester_04,2026-08-04 12:14:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/50868a96-c436-47c0-b3de-7fd525919c52/,tester_04,2.0,10.2666079,7.4885025,10.2665934,7.4888028,32.89673832662542,Yes
1390,ac63f306-0089-4aa8-89e3-a64a47774f0d,2026-11-14,land_preparation,rice maize,good,poor,---,goats,poor,---,partially,fertilizer_application,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/ac63f306-0089-4aa8-89e3-a64a47774f0d/1784781874590.jpg,10.2228054 7.4312190 0.0 20.0,bde036b2-687b-4eee-9f56-f2486fd6da94,2026-11-14 08:35:00,2026-11-14 08:32:00,tester_06,2026-11-14 08:35:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ac63f306-0089-4aa8-89e3-a64a47774f0d/,tester_06,3.0,10.2228054,7.431219,10.2231543,7.4309345,49.74303848670347,Yes
1391,d15e102f-a2a3-4cf7-a34f-1bdbd39eea9b,2026-09-15,harvesting,rice,---,fair,---,goats,poor,---,yes,improved_seed fertilizer_application improved_livestock_housing,pest_infestation livestock_disease flooding,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/d15e102f-a2a3-4cf7-a34f-1bdbd39eea9b/1783810508159.jpg,10.2629713 7.4800908 0.0 20.0,bde036b2-687b-4eee-9f56-f2486fd6da94,2026-09-15 14:23:00,2026-09-15 14:16:00,tester_06,2026-09-15 14:23:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/d15e102f-a2a3-4cf7-a34f-1bdbd39eea9b/,tester_06,7.0,10.2629713,7.4800908,10.2231543,7.4309345,6966.632208403191,No
1392,87a481a2-335f-4089-b4ed-20e5c2bfcefd,2026-04-07,harvesting,maize,poor,---,---,goats,poor,---,no,---,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/87a481a2-335f-4089-b4ed-20e5c2bfcefd/1783958981922.jpg,10.4301442 7.4982521 0.0 20.0,b9f28c38-12c2-4faa-b01a-59ac0545905e,2026-04-07 17:03:00,2026-04-07 17:00:00,tester_07,2026-04-07 17:03:14,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/87a481a2-335f-4089-b4ed-20e5c2bfcefd/,tester_07,3.0,10.4301442,7.4982521,10.4296933,7.4978251,68.51487876326371,Yes
1393,316cac9b-fada-40ef-bd0c-bdfc69b1e27f,2026-02-05,flowering,maize,fair,---,---,goats,good,---,yes,fertilizer_application improved_livestock_housing improved_seed pest_management,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/316cac9b-fada-40ef-bd0c-bdfc69b1e27f/1783065785545.jpg,10.4294399 7.4980087 0.0 20.0,b9f28c38-12c2-4faa-b01a-59ac0545905e,2026-02-05 14:17:00,2026-02-05 14:14:00,tester_07,2026-02-05 14:17:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/316cac9b-fada-40ef-bd0c-bdfc69b1e27f/,tester_07,3.0,10.4294399,7.4980087,10.4296933,7.4978251,34.59857529221143,Yes
1394,21fd78c9-545c-452e-96a2-1a510db871f9,2026-07-15,harvesting,groundnuts,---,---,fair,---,---,---,partially,pest_management improved_seed,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/21fd78c9-545c-452e-96a2-1a510db871f9/1783102918649.jpg,10.4460385 7.3208249 0.0 20.0,07aa044b-1714-4e6d-93a3-2f6d9b8f224b,2026-07-15 09:25:00,2026-07-15 09:20:00,tester_01,2026-07-15 09:25:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/21fd78c9-545c-452e-96a2-1a510db871f9/,tester_01,5.0,10.4460385,7.3208249,10.4455646,7.3212317,68.96126545216603,Yes
1395,06bff77a-8550-40b1-bcd3-3498a046af76,2026-07-07,flowering,groundnuts,---,---,good,---,---,---,yes,improved_livestock_housing pest_management proper_spacing timely_weeding,livestock_disease flooding poor_rainfall,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/06bff77a-8550-40b1-bcd3-3498a046af76/1784310774861.jpg,10.4848749 7.3451150 0.0 20.0,07aa044b-1714-4e6d-93a3-2f6d9b8f224b,2026-07-07 08:32:00,2026-07-07 08:29:00,tester_01,2026-07-07 08:32:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/06bff77a-8550-40b1-bcd3-3498a046af76/,tester_01,3.0,10.4848749,7.345115,10.4455646,7.3212317,5091.819925446267,No
1396,3c30897e-8289-4ab0-864b-0a09d8715590,2026-06-09,land_preparation,rice,---,poor,---,rabbits,---,fair,partially,improved_seed improved_livestock_housing,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/3c30897e-8289-4ab0-864b-0a09d8715590/1784570790578.jpg,10.2536435 7.4959557 0.0 20.0,35ff9d32-6d0a-4acf-acee-259f889f5759,2026-06-09 09:58:00,2026-06-09 09:51:00,tester_05,2026-06-09 09:58:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/3c30897e-8289-4ab0-864b-0a09d8715590/,tester_05,7.0,10.2536435,7.4959557,10.253599,7.4960214,8.727185024159628,Yes
1397,b6b9d6bc-b275-412b-84e3-11e4f5a0601b,2026-04-24,flowering,rice,---,poor,---,rabbits,---,fair,partially,pest_management,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/b6b9d6bc-b275-412b-84e3-11e4f5a0601b/1784126077648.jpg,10.2537084 7.4955702 0.0 20.0,35ff9d32-6d0a-4acf-acee-259f889f5759,2026-04-24 16:01:00,2026-04-24 15:56:00,tester_05,2026-04-24 16:01:21,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/b6b9d6bc-b275-412b-84e3-11e4f5a0601b/,tester_05,5.0,10.2537084,7.4955702,10.253599,7.4960214,50.846495174268085,Yes
1398,60445c60-d6e7-418c-8068-558b983c283a,2026-05-19,land_preparation,rice groundnuts,---,good,good,---,---,---,yes,proper_spacing improved_seed fertilizer_application,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/60445c60-d6e7-418c-8068-558b983c283a/1784263123027.jpg,10.3358071 7.3977021 0.0 20.0,42f35ebe-378d-4c0c-9445-b733080f839e,2026-05-19 11:53:00,2026-05-19 11:47:00,tester_01,2026-05-19 11:53:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/60445c60-d6e7-418c-8068-558b983c283a/,tester_01,6.0,10.3358071,7.3977021,10.3358401,7.3973383,39.96510288785633,Yes
1399,ab11c99d-fa9d-4f21-bf44-aebbdfe5998e,2026-05-23,harvesting,groundnuts,---,---,fair,---,---,---,yes,timely_weeding fertilizer_application improved_livestock_housing proper_spacing,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/ab11c99d-fa9d-4f21-bf44-aebbdfe5998e/1783472225377.jpg,10.3362424 7.3974634 0.0 20.0,42f35ebe-378d-4c0c-9445-b733080f839e,2026-05-23 11:34:00,2026-05-23 11:31:00,tester_01,2026-05-23 11:34:20,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ab11c99d-fa9d-4f21-bf44-aebbdfe5998e/,tester_01,3.0,10.3362424,7.3974634,10.3358401,7.3973383,46.78010290271088,Yes
1400,9fe03982-066c-4c1e-ae5c-5cb7ce43a345,2026-06-05,flowering,maize rice,poor,good,---,goats,fair,---,yes,timely_weeding pest_management improved_seed proper_spacing fertilizer_application,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/9fe03982-066c-4c1e-ae5c-5cb7ce43a345/1784364747669.jpg,10.5886541 7.4334859 0.0 20.0,e213b8db-bd8f-4fac-ab9f-1a01c5729bb5,2026-06-05 13:03:00,2026-06-05 12:56:00,tester_07,2026-06-05 13:03:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/9fe03982-066c-4c1e-ae5c-5cb7ce43a345/,tester_07,7.0,10.5886541,7.4334859,10.5888209,7.4337695,36.12301175418332,Yes
1401,a79f3515-4821-4a7f-be05-8a7ecd3867b0,2026-06-03,flowering,maize,poor,---,---,goats,fair,---,partially,improved_seed proper_spacing,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/a79f3515-4821-4a7f-be05-8a7ecd3867b0/1783919663382.jpg,10.6351928 7.4732662 0.0 20.0,e213b8db-bd8f-4fac-ab9f-1a01c5729bb5,2026-06-03 14:08:00,2026-06-03 14:04:00,tester_07,2026-06-03 14:08:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a79f3515-4821-4a7f-be05-8a7ecd3867b0/,tester_07,4.0,10.6351928,7.4732662,10.5888209,7.4337695,6724.707486790577,No
1402,ef266cd1-ac52-4339-951a-ca0a9fe13a01,2026-07-31,harvesting,rice,---,good,---,goats,poor,---,yes,proper_spacing pest_management fertilizer_application,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/ef266cd1-ac52-4339-951a-ca0a9fe13a01/1783296122363.jpg,10.5470736 7.4222940 0.0 20.0,abb1ccec-9c1d-434b-b56e-4c5ff0b3257c,2026-07-31 09:50:00,2026-07-31 09:44:00,tester_02,2026-07-31 09:50:22,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ef266cd1-ac52-4339-951a-ca0a9fe13a01/,tester_02,6.0,10.5470736,7.422294,10.5472545,7.422405,23.491619741784394,Yes
1403,ed03b80b-245f-4547-96aa-62e781c39a76,2026-07-23,vegetative_growth,groundnuts rice maize,fair,fair,fair,goats,good,---,yes,improved_livestock_housing timely_weeding improved_seed,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/ed03b80b-245f-4547-96aa-62e781c39a76/1784928834595.jpg,10.3637739 7.2858466 0.0 20.0,f6597ae3-ef87-45f9-b129-6cdb8da09d54,2026-07-23 10:24:00,2026-07-23 10:20:00,tester_05,2026-07-23 10:24:05,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ed03b80b-245f-4547-96aa-62e781c39a76/,tester_05,4.0,10.3637739,7.2858466,10.3635358,7.2860211,32.63839517104687,Yes
1404,ce2e9e1d-7442-4b70-b8a6-7fddb921283b,2026-07-25,flowering,maize rice groundnuts,fair,poor,fair,goats,fair,---,partially,proper_spacing,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/ce2e9e1d-7442-4b70-b8a6-7fddb921283b/1784529752606.jpg,10.3636976 7.2862046 0.0 20.0,f6597ae3-ef87-45f9-b129-6cdb8da09d54,2026-07-25 13:49:00,2026-07-25 13:45:00,tester_05,2026-07-25 13:49:30,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ce2e9e1d-7442-4b70-b8a6-7fddb921283b/,tester_05,4.0,10.3636976,7.2862046,10.3635358,7.2860211,26.954573891372995,Yes
1405,b644f702-0a4f-45c6-8e5b-13ae84252c86,2026-09-07,harvesting,maize groundnuts rice,fair,fair,good,---,---,---,yes,improved_livestock_housing improved_seed proper_spacing,poor_rainfall lack_of_fertilizer,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/b644f702-0a4f-45c6-8e5b-13ae84252c86/1783393015870.jpg,10.3710601 7.4907312 0.0 20.0,25898555-ee73-4b1b-8e7c-5cb36967f17e,2026-09-07 10:40:00,2026-09-07 10:37:00,tester_01,2026-09-07 10:40:23,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/b644f702-0a4f-45c6-8e5b-13ae84252c86/,tester_01,3.0,10.3710601,7.4907312,10.3708376,7.4909972,38.19173210496403,Yes
1406,b3bdd0e3-972e-435a-b644-d369e8ac64c3,2026-08-11,vegetative_growth,groundnuts rice,---,fair,poor,---,---,---,partially,improved_seed timely_weeding,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/b3bdd0e3-972e-435a-b644-d369e8ac64c3/1784161168663.jpg,10.3706063 7.4910671 0.0 20.0,25898555-ee73-4b1b-8e7c-5cb36967f17e,2026-08-11 10:25:00,2026-08-11 10:19:00,tester_01,2026-08-11 10:25:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/b3bdd0e3-972e-435a-b644-d369e8ac64c3/,tester_01,6.0,10.3706063,7.4910671,10.3708376,7.4909972,26.831721550307716,Yes
1407,94117b80-6a0d-433d-9e22-dbccb7bc2310,2026-06-15,flowering,rice groundnuts maize,fair,poor,good,---,---,---,yes,timely_weeding pest_management improved_seed,pest_infestation,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/94117b80-6a0d-433d-9e22-dbccb7bc2310/1784858007581.jpg,10.3709709 7.4905467 0.0 20.0,25898555-ee73-4b1b-8e7c-5cb36967f17e,2026-06-15 13:26:00,2026-06-15 13:19:00,tester_01,2026-06-15 13:26:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/94117b80-6a0d-433d-9e22-dbccb7bc2310/,tester_01,7.0,10.3709709,7.4905467,10.3708376,7.4909972,51.4559994211002,Yes
1408,ac27274a-14ed-4846-8aa0-5e7f4d8350c6,2026-04-24,land_preparation,rice,---,poor,---,---,---,---,yes,proper_spacing timely_weeding pest_management improved_seed improved_livestock_housing,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/ac27274a-14ed-4846-8aa0-5e7f4d8350c6/1783650811977.jpg,10.3165835 7.4109867 0.0 20.0,27ffa93d-a75e-4c31-8b47-3bda1554b973,2026-04-24 08:32:00,2026-04-24 08:24:00,tester_05,2026-04-24 08:32:24,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ac27274a-14ed-4846-8aa0-5e7f4d8350c6/,tester_05,8.0,10.3165835,7.4109867,10.316453,7.4106253,42.11504296554634,Yes
1409,f435151e-83ef-452d-8f37-09866656995c,2026-02-26,harvesting,rice,---,good,---,---,---,---,yes,improved_seed fertilizer_application improved_livestock_housing pest_management proper_spacing,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/f435151e-83ef-452d-8f37-09866656995c/1783356751486.jpg,10.3162922 7.4108937 0.0 20.0,27ffa93d-a75e-4c31-8b47-3bda1554b973,2026-02-26 12:38:00,2026-02-26 12:35:00,tester_05,2026-02-26 12:38:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/f435151e-83ef-452d-8f37-09866656995c/,tester_05,3.0,10.3162922,7.4108937,10.316453,7.4106253,34.37791487386429,Yes
1410,f4402947-72d8-4bf8-9e3a-13987706cf4f,2026-05-22,land_preparation,rice,---,poor,---,---,---,---,yes,timely_weeding improved_livestock_housing pest_management fertilizer_application proper_spacing,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/f4402947-72d8-4bf8-9e3a-13987706cf4f/1783403194212.jpg,10.3165498 7.4104405 0.0 20.0,27ffa93d-a75e-4c31-8b47-3bda1554b973,2026-05-22 14:34:00,2026-05-22 14:31:00,tester_05,2026-05-22 14:34:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/f4402947-72d8-4bf8-9e3a-13987706cf4f/,tester_05,3.0,10.3165498,7.4104405,10.316453,7.4106253,22.903455847755293,Yes
1411,97999000-a5dc-4ac3-9e77-06c6b40ac320,2026-05-18,flowering,maize,poor,---,---,goats,good,---,partially,fertilizer_application,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/97999000-a5dc-4ac3-9e77-06c6b40ac320/1784473135809.jpg,10.3902893 7.4552856 0.0 20.0,b54ea082-61e1-4cff-95c6-f71e762ec92d,2026-05-18 15:29:00,2026-05-18 15:22:00,tester_02,2026-05-18 15:29:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/97999000-a5dc-4ac3-9e77-06c6b40ac320/,tester_02,7.0,10.3902893,7.4552856,10.39016,7.4557206,49.701600216584055,Yes
1412,0128a8e9-a3a1-4c05-9e3a-6e561a7d29cf,2026-06-29,planting,groundnuts,---,---,poor,goats,good,---,no,---,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/0128a8e9-a3a1-4c05-9e3a-6e561a7d29cf/1783030524605.jpg,10.3896831 7.4562159 0.0 20.0,b54ea082-61e1-4cff-95c6-f71e762ec92d,2026-06-29 16:39:00,2026-06-29 16:36:00,tester_02,2026-06-29 16:39:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/0128a8e9-a3a1-4c05-9e3a-6e561a7d29cf/,tester_02,3.0,10.3896831,7.4562159,10.39016,7.4557206,75.80661960294034,Yes
1413,a13e1aae-73f1-4068-acc8-2dd18d10071c,2026-07-15,flowering,rice maize groundnuts,good,poor,good,goats,poor,---,yes,improved_livestock_housing proper_spacing fertilizer_application improved_seed,flooding,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/a13e1aae-73f1-4068-acc8-2dd18d10071c/1783853765849.jpg,10.3901422 7.4553262 0.0 20.0,b54ea082-61e1-4cff-95c6-f71e762ec92d,2026-07-15 13:57:00,2026-07-15 13:49:00,tester_02,2026-07-15 13:57:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a13e1aae-73f1-4068-acc8-2dd18d10071c/,tester_02,8.0,10.3901422,7.4553262,10.39016,7.4557206,43.18154630994253,Yes
1414,e32f3de5-5886-4f73-bbd2-6184f6a057ce,2026-08-18,harvesting,maize,poor,---,---,goats,poor,---,yes,proper_spacing improved_seed timely_weeding pest_management fertilizer_application,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/e32f3de5-5886-4f73-bbd2-6184f6a057ce/1784520160580.jpg,10.6439960 7.4300102 0.0 20.0,67c1584f-8061-467d-9486-5781984c6e9a,2026-08-18 12:15:00,2026-08-18 12:07:00,tester_04,2026-08-18 12:15:26,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/e32f3de5-5886-4f73-bbd2-6184f6a057ce/,tester_04,8.0,10.643996,7.4300102,10.5947058,7.3943882,6722.7954487316265,No
1415,9d2ae326-5f3b-41f0-9e3c-75fcc0788073,2026-06-03,harvesting,maize,poor,---,---,goats,good,---,yes,timely_weeding pest_management proper_spacing improved_seed fertilizer_application improved_livestock_housing,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/9d2ae326-5f3b-41f0-9e3c-75fcc0788073/1783660567559.jpg,10.5949553 7.3945169 0.0 20.0,67c1584f-8061-467d-9486-5781984c6e9a,2026-06-03 10:34:00,2026-06-03 10:29:00,tester_04,2026-06-03 10:34:24,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/9d2ae326-5f3b-41f0-9e3c-75fcc0788073/,tester_04,5.0,10.5949553,7.3945169,10.5947058,7.3943882,31.105575152228088,Yes
1416,fd348536-0146-4751-867a-030a74e5a7dd,2026-06-06,land_preparation,rice,---,fair,---,---,---,---,no,---,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/fd348536-0146-4751-867a-030a74e5a7dd/1783332908325.jpg,10.2954190 7.2780746 0.0 20.0,935b8089-076f-4379-8006-2342366c4ab3,2026-06-06 15:50:00,2026-06-06 15:48:00,tester_03,2026-06-06 15:50:27,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/fd348536-0146-4751-867a-030a74e5a7dd/,tester_03,2.0,10.295419,7.2780746,10.268285,7.2341965,5670.073501775213,No
1417,2d1bb4db-f117-475e-9591-3c4053a79032,2026-08-25,planting,maize,good,---,---,---,---,---,yes,timely_weeding improved_livestock_housing,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/2d1bb4db-f117-475e-9591-3c4053a79032/1783366989710.jpg,10.2915653 7.2558495 0.0 20.0,935b8089-076f-4379-8006-2342366c4ab3,2026-08-25 08:57:00,2026-08-25 08:54:00,tester_03,2026-08-25 08:57:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/2d1bb4db-f117-475e-9591-3c4053a79032/,tester_03,3.0,10.2915653,7.2558495,10.268285,7.2341965,3509.0645306457213,No
